MSE,Var_exp,R2,mse_test,site,property
0.02735368149290731,0.41542878002572314,0.4825349239279394,0.0243575497630297,Agriculture,a_col
0.5256869544012092,0.31771423947732536,0.09061823754211272,0.4034196141011635,Agriculture,b_col
0.6356547995331864,0.29248115166642397,0.10145732153506744,0.4904947577196634,Agriculture,c_col
0.31656978632962374,0.41498756246286395,0.2533876335662882,0.5802714200933208,Forest,Ca
0.42724341627089496,0.3322577280019383,0.106109878646187,0.5148003672827142,Agriculture,Co
0.9680676047070768,-0.17289944881827557,0.006302891796114,1.0329891214326123,Forest,Co
0.00973370551982186,0.5743015608598384,0.287489371330737,0.0126083031457075,Agriculture,Cs
0.00880619827113693,-0.05645850201171232,0.02305547414979863,0.00867023637426926,Forest,Cs
0.00515361345126103,0.3443439924573186,0.01312176377650295,0.00983434248989887,Agriculture,Fe
1.2079593850023006e-4,0.2021434275726095,0.03153209683910251,1.876458673509667e-4,Agriculture,h_col
0.00212415564940223,-0.1372618357800428,0.01148543804061555,0.00202607817465094,Forest,h_col
0.3882496875568051,0.3736303711670612,0.8066245355156297,0.380252501243515,Agriculture,La
2.4899647143317933,-0.31232914624953567,0.021450608157497577,3.7691157515134828,Forest,La
1.8602374227879417,-0.14927660111339436,0.4328813474999736,0.8409375512170968,Agriculture,Li
0.5486454370072552,-0.08118487669556296,0.05314974685246163,1.3280010235913453,Forest,Li
0.00250823685710032,0.17221465895325316,9.061996569605638e-4,0.00335379409480651,Agriculture,Nb
1.8940835310661353,0.6513130567250648,0.6971858865352073,1.4597609817879855,Agriculture,Ni
7.784213145861176,-0.4372625316710941,0.02031690705583351,6.9827312075895565,Forest,Ni
3.751418717645101,0.7607467676138164,0.8469150637696635,2.7067686644938553,Agriculture,Rb
441.3259366679405,0.6437146364415203,0.8519699468926365,365.51035084279874,Agriculture,Sr
44.46687287190681,0.4013442931860806,0.17367440619210686,58.1824280446129,Forest,Sr
1.3249723325223847e-6,0.3452366676709808,0.31434131076884025,1.8043588634301157e-6,Agriculture,x_col
9.709327270825948e-4,0.36079758863644906,0.15771025055696722,7.596876272063396e-4,Forest,Nb
